scenario,label,year,gdp_bn,primary_balance_pct,spread_bp,oat_10y_pct,avg_new_yield_pct,mlt_avg_maturity_at_issue,redemptions_bn,net_issuance_bn,mlt_gross_issuance_bn,btf_stock,register_interest_bn,gg_interest_bn,gg_interest_pct_gdp,deficit_bn,deficit_pct_gdp,debt_bn,debt_pct_gdp,negotiable_stock_bn,avg_coupon_fixed_pct,coupon_fixed_bn,coupon_linker_bn,uplift_bn,bill_interest_bn,new_issue_interest_bn
philippe_hung,"Philippe, hung Assembly",2034,3874.9635877941387,-0.9,80.83897019323813,4.208389701932381,4.071562737180466,10.578555866434186,293.922937815053,173.40332665780136,467.32626447285435,215.0,152.37074164005358,165.54561783855365,4.272185120913411,192.67036295311263,4.9721851209134105,4983.5499874328525,128.60895011067157,4263.108233023627,3.7823321065777917,133.2723500180096,0.8621357311670224,3.0868091893366683,5.635705678873193,9.513741022667086
philippe_hung,"Philippe, hung Assembly",2035,3991.212495427963,-0.9,82.22833167211894,4.222283316721189,4.084125349242689,10.578555866434186,346.36384808875414,182.91221926117888,529.276067349933,215.0,161.72718922663682,175.2973117110919,4.392081652177114,203.23579917908765,5.092081652177114,5186.78578661194,129.9551400120524,4448.91402944064,3.8269858998124247,141.5071556974483,0.8202494435385508,2.951448698950695,5.640186369642584,10.80814901705671
lepen_majority,"Le Pen, majority",2026,3055.8,-2.7,85.0,4.25,4.027385915952777,8.764358511400584,60.738,43.53111977645736,108.14123494286656,215.0,67.27028,77.66,2.5413966882649386,156.23263243271322,5.112658957808534,3600.072232432713,117.81112089903503,2981.4825855986664,2.2446518818436902,51.1910266118963,2.9419884175072,6.301098299816001,5.6822183625000005,2.1776324327132057
lepen_majority,"Le Pen, majority",2027,3150.7,-2.5,110.0,4.5,4.2440701790303725,8.764358511400584,212.6059326448,143.48574077180595,341.0916734166059,230.0,76.25012085756217,86.96250085756216,2.7601009571702213,159.42860085756217,5.0601009571702225,3759.5008332902753,119.32271664361176,3131.269424670289,2.542557281946147,54.191815792391196,2.7426194170118423,6.147975650844211,5.929625,7.238084997314919
lepen_majority,"Le Pen, majority",2028,3245.221,-3.3,150.0065959316271,4.9000659593162705,4.590822169337883,8.764358511400584,251.060618719032,180.83213713404902,401.89275585308104,260.0,89.28899441560999,100.32274581560999,3.091399501470316,200.92459681561002,6.1913995014703165,3960.4254301058854,122.03869721371474,3317.8918834172546,2.9567966434839277,65.41552303578591,2.4412610780766615,5.530845195365586,6.67627424004873,9.225090866333108
lepen_majority,"Le Pen, majority",2029,3342.57763,-3.2,143.7911883220605,4.837911883220604,4.536950928633651,8.764358511400584,302.22664570382597,194.0928917254284,486.3195374292544,270.0,104.01667574180934,115.38143968380933,3.451870156978503,215.65876858380932,6.451870156978503,4176.084198689695,124.93604220912871,3517.4420354655363,3.279592979725094,78.69717437667363,2.2122405123238256,4.878651494469957,7.19656997358019,11.032039384761715
lepen_majority,"Le Pen, majority",2030,3442.8549589000004,-2.8,138.70204347540542,4.787020434754054,4.492841424601946,8.764358511400584,258.71425105142185,198.74721160808704,457.4614626595089,270.0,119.61029932843674,131.31600618869675,3.8141602755944297,220.83023512009672,6.414160275594429,4396.914433809791,127.71128863397182,3720.7771683492847,3.533605196732998,95.70566220892192,1.852770412275759,4.463614383185467,7.311743276075393,10.276509047978191
lepen_majority,"Le Pen, majority",2031,3546.1406076670005,-2.4,143.84730091751732,4.838473009175173,4.537437277289488,8.764358511400584,301.24066295070855,202.9618256194858,504.20248857019436,270.0,135.44116814246465,147.49804620853246,4.159396440446594,225.51313957720646,6.359396440446594,4622.427573386998,130.35093880352605,3927.925774663282,3.7898836447033313,110.78501035129662,1.7825737120303489,4.102066675719068,7.332581568715945,11.438935834702635
lepen_majority,"Le Pen, majority",2032,3652.5248258970105,-2.1,149.23097985418002,4.8923097985418,4.584099617410973,8.764358511400584,346.1671617541092,210.8598236560487,557.0269854101579,270.0,152.47213685107218,164.89072125912202,4.514431225491454,234.28869295116522,6.414431225491454,4856.716266338163,132.9687407434779,4142.671838903175,3.9684887060816116,127.47225781534218,1.3931210810048773,3.485036532784236,7.354385468409429,12.767335953531463
lepen_majority,"Le Pen, majority",2033,3762.100570673921,-2.0,154.86969193559247,4.948696919355925,4.632972424293677,8.764358511400584,313.83918123744843,222.056459692114,535.8956409295624,270.0,166.22044744548253,179.01158938577387,4.758288249420902,246.72939965790445,6.558288249420902,5103.445665996068,135.654153048914,4367.840202127583,4.077103283220587,142.36554642239406,0.8895885341815731,3.174141602938506,7.377222252339149,12.413948633629243
