iso3,series_variant,year,line_code,contribution_pp,kind,notes
GBR,strict,2005,GF10,0.11423903153277293,expenditure,nan
GBR,strict,2005,NLB_CHANGE_SUM,0.012265840162888425,total,Δ((ΣR-ΣE)/GDP); V26: equals the line sum exactly
GBR,strict,2005,ANCHOR_B9_DELTA,-1.7486012637846216e-15,memo,"anchor Δ(B9/GDP) minus the sum-based change; rounding/vintage wedge, never allocated (D16)"
GBR,strict,2005,WEO_GGXCNL_DELTA,0.012265840162886676,memo,"WEO 2026-04 Δ(GGXCNL/NGDP), comparison column per §8.3"
GBR,strict,2006,R01,-0.008731626582907104,revenue,nan
GBR,strict,2006,R02,0.05658440613569224,revenue,nan
GBR,strict,2006,R03,0.14462037936613936,revenue,nan
GBR,strict,2006,R04,0.052956870003480205,revenue,nan
GBR,strict,2006,R05,0.015088698570181816,revenue,nan
GBR,strict,2006,R06,0.016980105487436614,revenue,nan
GBR,strict,2006,R07,0.03126256130880885,revenue,nan
GBR,strict,2006,R08,-0.04543361468624936,revenue,nan
GBR,strict,2006,R09,0.23095861210528817,revenue,nan
GBR,strict,2006,R10,-0.5000120911563161,revenue,nan
GBR,strict,2006,GF01,-0.06571815718554377,expenditure,nan
GBR,strict,2006,GF02,-0.010032005266719796,expenditure,nan
GBR,strict,2006,GF03,0.07153369662092832,expenditure,nan
GBR,strict,2006,GF04,-0.061742915429642206,expenditure,nan
GBR,strict,2006,GF05,0.5238180946299011,expenditure,nan
GBR,strict,2006,GF06,-0.014906281138655532,expenditure,nan
GBR,strict,2006,GF07,-0.1753285205014679,expenditure,nan
GBR,strict,2006,GF08,0.01983609122150915,expenditure,nan
GBR,strict,2006,GF09,-0.19854189785473153,expenditure,nan
GBR,strict,2006,GF10,0.30987607221191205,expenditure,nan
GBR,strict,2006,NLB_CHANGE_SUM,0.39306847785904464,total,Δ((ΣR-ΣE)/GDP); V26: equals the line sum exactly
GBR,strict,2006,ANCHOR_B9_DELTA,2.7755575615628914e-16,memo,"anchor Δ(B9/GDP) minus the sum-based change; rounding/vintage wedge, never allocated (D16)"
GBR,strict,2006,WEO_GGXCNL_DELTA,0.3930684778590449,memo,"WEO 2026-04 Δ(GGXCNL/NGDP), comparison column per §8.3"
GBR,strict,2007,R01,-0.006530986148424456,revenue,nan
GBR,strict,2007,R02,0.050217204183334446,revenue,nan
GBR,strict,2007,R03,0.28990116480249184,revenue,nan
GBR,strict,2007,R04,-0.16362228908368415,revenue,nan
GBR,strict,2007,R05,0.04592396391444355,revenue,nan
GBR,strict,2007,R06,-0.05301365223296939,revenue,nan
GBR,strict,2007,R07,0.09708984291146085,revenue,nan
GBR,strict,2007,R08,0.023434298549089398,revenue,nan
GBR,strict,2007,R09,0.029188179076348672,revenue,nan
GBR,strict,2007,R10,0.014678572915150977,revenue,nan
GBR,strict,2007,GF01,-0.0643930838848561,expenditure,nan
GBR,strict,2007,GF02,0.12415464689355914,expenditure,nan
GBR,strict,2007,GF03,-0.025059018571660374,expenditure,nan
GBR,strict,2007,GF04,-0.015796830986352164,expenditure,nan
GBR,strict,2007,GF05,-0.05655404293877682,expenditure,nan
GBR,strict,2007,GF06,-0.07268091736460422,expenditure,nan
GBR,strict,2007,GF07,-0.03046140957577992,expenditure,nan
GBR,strict,2007,GF08,0.00593720658227867,expenditure,nan
GBR,strict,2007,GF09,-0.009851447099044203,expenditure,nan
GBR,strict,2007,GF10,-0.07633353687640787,expenditure,nan
