iso3,series_variant,weo_vintage,source_vintage_set_hash,base_year,horizon_year,side,residual_kind,contribution_pp
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2029,revenue,resid_total,0.9728251246423012
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2029,expenditure,resid_total,-1.382815894905732
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2030,revenue,resid_total,0.8782582012618974
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2030,expenditure,resid_total,-1.3004000411779901
GBR,strict,2025-04,9b805ef685ff,2024,2025,revenue,resid_total,0.3187699895034164
GBR,strict,2025-04,9b805ef685ff,2024,2025,expenditure,resid_total,0.16220351548696388
GBR,strict,2025-04,9b805ef685ff,2024,2026,revenue,resid_total,1.3609600268324722
GBR,strict,2025-04,9b805ef685ff,2024,2026,expenditure,resid_total,0.046032190391737116
GBR,strict,2025-04,9b805ef685ff,2024,2027,revenue,resid_total,1.723609183776753
GBR,strict,2025-04,9b805ef685ff,2024,2027,expenditure,resid_total,0.2580224371011408
GBR,strict,2025-04,9b805ef685ff,2024,2028,revenue,resid_total,2.4091337316297756
GBR,strict,2025-04,9b805ef685ff,2024,2028,expenditure,resid_total,0.517755192431163
GBR,strict,2025-04,9b805ef685ff,2024,2029,revenue,resid_total,2.3620424041436108
GBR,strict,2025-04,9b805ef685ff,2024,2029,expenditure,resid_total,0.822807063193115
GBR,strict,2025-04,9b805ef685ff,2024,2030,revenue,resid_total,2.354637894967737
GBR,strict,2025-04,9b805ef685ff,2024,2030,expenditure,resid_total,1.142523573385329
GBR,maximum_extension,2025-04,9b805ef685ff,2024,2025,revenue,resid_total,0.3187699895034164
GBR,maximum_extension,2025-04,9b805ef685ff,2024,2025,expenditure,resid_total,1.134744105327211
GBR,maximum_extension,2025-04,9b805ef685ff,2024,2026,revenue,resid_total,1.3609600268324722
GBR,maximum_extension,2025-04,9b805ef685ff,2024,2026,expenditure,resid_total,1.0648489104521126
GBR,maximum_extension,2025-04,9b805ef685ff,2024,2027,revenue,resid_total,1.723609183776753
GBR,maximum_extension,2025-04,9b805ef685ff,2024,2027,expenditure,resid_total,1.204280292960773
GBR,maximum_extension,2025-04,9b805ef685ff,2024,2028,revenue,resid_total,2.4091337316297756
GBR,maximum_extension,2025-04,9b805ef685ff,2024,2028,expenditure,resid_total,0.517755192431163
GBR,maximum_extension,2025-04,9b805ef685ff,2024,2029,revenue,resid_total,2.3620424041436108
GBR,maximum_extension,2025-04,9b805ef685ff,2024,2029,expenditure,resid_total,0.822807063193115
GBR,maximum_extension,2025-04,9b805ef685ff,2024,2030,revenue,resid_total,2.354637894967737
GBR,maximum_extension,2025-04,9b805ef685ff,2024,2030,expenditure,resid_total,1.142523573385329
FRA,strict,2025-04,9b805ef685ff,2023,2024,revenue,resid_coverage,0.13660101649014217
FRA,strict,2025-04,9b805ef685ff,2023,2024,revenue,resid_disagreement,-0.06200160167845192
FRA,strict,2025-04,9b805ef685ff,2023,2024,expenditure,resid_coverage,-0.15320205653209293
FRA,strict,2025-04,9b805ef685ff,2023,2024,expenditure,resid_disagreement,0.13979376383312925
FRA,strict,2025-04,9b805ef685ff,2023,2025,revenue,resid_coverage,0.07734114584142138
FRA,strict,2025-04,9b805ef685ff,2023,2025,revenue,resid_disagreement,-0.4857513206699693
FRA,strict,2025-04,9b805ef685ff,2023,2025,expenditure,resid_coverage,-0.5111614154009521
FRA,strict,2025-04,9b805ef685ff,2023,2025,expenditure,resid_disagreement,0.21624709924091823
FRA,strict,2025-04,9b805ef685ff,2023,2026,revenue,resid_coverage,0.5138211625289053
FRA,strict,2025-04,9b805ef685ff,2023,2026,revenue,resid_disagreement,-1.1105121195541856
FRA,strict,2025-04,9b805ef685ff,2023,2026,expenditure,resid_coverage,-0.7378559808388356
FRA,strict,2025-04,9b805ef685ff,2023,2026,expenditure,resid_disagreement,0.37391670970200463
