run_id,iso3,year,chain,step,value_lcu_mn,item_source_id,basis,period_basis,period_conversion_method,snapshot_sha256,quality_grade,notes
20260909T180316Z,DEU,2013,financing,B_s1311_b9,132.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2013,financing,C_s13_nlb,3512.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2014,financing,A_cg_cash_requirement,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2014,financing,B_s1311_b9,17023.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2014,financing,C_s13_nlb,21832.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2015,financing,A_cg_cash_requirement,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2015,financing,B_s1311_b9,17956.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2015,financing,C_s13_nlb,28239.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2016,financing,A_cg_cash_requirement,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2016,financing,B_s1311_b9,14999.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
