iso3,as_of,instrument_class,bucket,nominal_lcu_mn,nominal_uplifted_lcu_mn,market_hands_lcu_mn,n_securities,weighted_residual_years,run_id,source_id,snapshot_sha256,quality_grade,notes
DEU,2005-12-31,fixed_bullet,20-30,83250.0,,,6,24.404790827788776,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2005-12-31,fixed_bullet,30+,11000.0,,,1,31.01163586584531,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2005-12-31,other,0-1,3669.972755963971,,,35,0.4251662952591793,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2005-12-31,other,1-2,2212.506525649245,,,25,1.4502283157352704,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2005-12-31,other,2-3,2153.0927549194644,,,13,2.405167512531327,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2005-12-31,other,3-5,2834.35659077,,,24,4.010567691697523,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2005-12-31,other,5-7,1592.4115000699999,,,25,5.540373102864419,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2006-12-31,bill,0-1,36000.0,,,6,0.24777549623545514,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2006-12-31,fixed_bullet,0-1,127000.0,,,8,0.44880272922763503,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2006-12-31,fixed_bullet,1-2,132250.0,,,10,1.4155206121606636,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2006-12-31,fixed_bullet,2-3,81750.0,,,5,2.432944633875252,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2006-12-31,fixed_bullet,3-5,161718.25396825396,,,9,3.890354628532658,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2006-12-31,fixed_bullet,5-7,98000.0,,,4,5.7291483328444315,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2006-12-31,fixed_bullet,7-10,143500.0,,,8,8.275855161015675,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2006-12-31,fixed_bullet,10-15,7000.0,,,1,10.012320328542094,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2006-12-31,fixed_bullet,15-20,10250.0,,,1,17.010266940451746,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2006-12-31,fixed_bullet,20-30,83250.0,,,6,23.40547529048556,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2006-12-31,fixed_bullet,30+,23000.0,,,1,30.012320328542096,20260910T000226Z,ggfiscal.debt.maturity,,A,
